lead_email,type,channel,duration
ghada.naffati2001@novacrm.tn,meeting,physical,2727
nour.mabrouk2002@novacrm.tn,website_visit,web,238
aymen.zouari2003@novacrm.tn,meeting,physical,1748
aymen.zouari2003@novacrm.tn,form_submit,web,171
aymen.zouari2003@novacrm.tn,email_opened,email,100
aymen.zouari2003@novacrm.tn,email_opened,email,110
aymen.zouari2003@novacrm.tn,email_opened,email,123
aymen.zouari2003@novacrm.tn,email_opened,email,90
aymen.zouari2003@novacrm.tn,website_visit,web,142
aymen.zouari2003@novacrm.tn,website_visit,web,381
aymen.zouari2003@novacrm.tn,website_visit,web,163
aymen.zouari2003@novacrm.tn,website_visit,web,475
firas.riahi2004@novacrm.tn,form_submit,web,255
firas.riahi2004@novacrm.tn,website_visit,web,201
firas.haddad2005@novacrm.tn,form_submit,web,269
firas.haddad2005@novacrm.tn,form_submit,web,219
firas.haddad2005@novacrm.tn,form_submit,web,145
firas.haddad2005@novacrm.tn,email_opened,email,153
firas.haddad2005@novacrm.tn,website_visit,web,49
firas.haddad2005@novacrm.tn,website_visit,web,133
firas.haddad2005@novacrm.tn,website_visit,web,461
firas.haddad2005@novacrm.tn,website_visit,web,62
firas.haddad2005@novacrm.tn,website_visit,web,332
firas.haddad2005@novacrm.tn,website_visit,web,41
hatem.ayari2006@novacrm.tn,meeting,physical,2966
hatem.ayari2006@novacrm.tn,meeting,physical,1132
hatem.ayari2006@novacrm.tn,form_submit,web,261
hatem.ayari2006@novacrm.tn,email_opened,email,54
hatem.ayari2006@novacrm.tn,website_visit,web,100
hatem.ayari2006@novacrm.tn,website_visit,web,39
hatem.ayari2006@novacrm.tn,website_visit,web,255
hatem.naffati2007@novacrm.tn,email_opened,email,185
aymen.dridi2008@novacrm.tn,meeting,physical,2405
aymen.dridi2008@novacrm.tn,meeting,physical,2122
aymen.dridi2008@novacrm.tn,meeting,physical,1373
aymen.dridi2008@novacrm.tn,meeting,physical,3375
aymen.dridi2008@novacrm.tn,form_submit,web,271
aymen.dridi2008@novacrm.tn,email_opened,email,117
aymen.dridi2008@novacrm.tn,email_opened,email,116
aymen.dridi2008@novacrm.tn,email_opened,email,96
aymen.dridi2008@novacrm.tn,email_opened,email,115
aymen.dridi2008@novacrm.tn,email_opened,email,26
aymen.dridi2008@novacrm.tn,email_opened,email,100
aymen.dridi2008@novacrm.tn,email_opened,email,144
aymen.dridi2008@novacrm.tn,website_visit,web,116
aymen.dridi2008@novacrm.tn,website_visit,web,399
aymen.dridi2008@novacrm.tn,website_visit,web,23
aymen.dridi2008@novacrm.tn,website_visit,web,125
aymen.dridi2008@novacrm.tn,website_visit,web,237
aymen.dridi2008@novacrm.tn,website_visit,web,411
aymen.dridi2008@novacrm.tn,website_visit,web,341
nidhal.hamdi2009@novacrm.tn,meeting,physical,2975
nidhal.hamdi2009@novacrm.tn,meeting,physical,1579
nidhal.hamdi2009@novacrm.tn,meeting,physical,945
nidhal.hamdi2009@novacrm.tn,meeting,physical,1314
nidhal.hamdi2009@novacrm.tn,form_submit,web,134
nidhal.hamdi2009@novacrm.tn,form_submit,web,347
nidhal.hamdi2009@novacrm.tn,form_submit,web,198
nidhal.hamdi2009@novacrm.tn,email_opened,email,35
nidhal.hamdi2009@novacrm.tn,email_opened,email,26
nidhal.hamdi2009@novacrm.tn,website_visit,web,275
nidhal.hamdi2009@novacrm.tn,website_visit,web,126
nidhal.hamdi2009@novacrm.tn,website_visit,web,337
nidhal.hamdi2009@novacrm.tn,website_visit,web,281
jihen.riahi2011@novacrm.tn,meeting,physical,1367
jihen.riahi2011@novacrm.tn,email_opened,email,40
jihen.riahi2011@novacrm.tn,email_opened,email,191
jihen.riahi2011@novacrm.tn,website_visit,web,250
jihen.riahi2011@novacrm.tn,website_visit,web,430
amani.yahyaoui2012@novacrm.tn,form_submit,web,228
amani.yahyaoui2012@novacrm.tn,form_submit,web,320
amani.yahyaoui2012@novacrm.tn,email_opened,email,96
amani.yahyaoui2012@novacrm.tn,email_opened,email,147
amani.yahyaoui2012@novacrm.tn,email_opened,email,123
amani.yahyaoui2012@novacrm.tn,email_opened,email,33
amani.yahyaoui2012@novacrm.tn,email_opened,email,171
amani.yahyaoui2012@novacrm.tn,email_opened,email,96
amani.yahyaoui2012@novacrm.tn,email_opened,email,85
amani.yahyaoui2012@novacrm.tn,website_visit,web,69
amani.yahyaoui2012@novacrm.tn,website_visit,web,436
amani.yahyaoui2012@novacrm.tn,website_visit,web,90
